test_folder,test_filename,top_similar_predict,similarity_score,plot_path
헬로카봇_X_라이프_X,thunder_0601.webp,헬로카봇_스카이_SWAT_올스타,0.7556545734405518,results\ViT_g_14\헬로카봇_X_라이프_X_thunder_0601_webp_similarity.png
헬로카봇_[한정판]_크리스탈카봇_스톰_X,thunder_0752.webp,헬로카봇_펜타스톰,0.7538232803344727,results\ViT_g_14\헬로카봇_[한정판]_크리스탈카봇_스톰_X_thunder_0752_webp_similarity.png
헬로카봇_고스트체이서_트루,thunder_0149.webp,헬로카봇_미니_트루,0.7596283555030823,results\ViT_g_14\헬로카봇_고스트체이서_트루_thunder_0149_webp_similarity.png
헬로카봇_고스트체이서_트루,thunder_0775.webp,헬로카봇_우가바,0.777312159538269,results\ViT_g_14\헬로카봇_고스트체이서_트루_thunder_0775_webp_similarity.png
헬로카봇_고스트체이서_트루,thunder_0776.webp,헬로카봇_미니_트루,0.8121005296707153,results\ViT_g_14\헬로카봇_고스트체이서_트루_thunder_0776_webp_similarity.png
헬로카봇_고스트체이서_트루,thunder_0997.webp,헬로카봇_우가바,0.8169529438018799,results\ViT_g_14\헬로카봇_고스트체이서_트루_thunder_0997_webp_similarity.png
헬로카봇_골드렉스_레스큐_올스타,thunder_1149.webp,헬로카봇_골드렉스레스큐,0.8293589949607849,results\ViT_g_14\헬로카봇_골드렉스_레스큐_올스타_thunder_1149_webp_similarity.png
헬로카봇_골드렉스레스큐,thunder_0755.webp,헬로카봇_골드렉스_레스큐_올스타,0.7645493149757385,results\ViT_g_14\헬로카봇_골드렉스레스큐_thunder_0755_webp_similarity.png
헬로카봇_골드렉스레스큐,thunder_0972.webp,헬로카봇_골드렉스_레스큐_올스타,0.8432994484901428,results\ViT_g_14\헬로카봇_골드렉스레스큐_thunder_0972_webp_similarity.png
헬로카봇_그랜저_호크_블루,thunder_0957.webp,헬로카봇_그랜저_호크_블루,0.8084113001823425,results\ViT_g_14\헬로카봇_그랜저_호크_블루_thunder_0957_webp_similarity.png
헬로카봇_그랜저_호크_블루,thunder_1385.webp,헬로카봇_그랜저_호크_블루,0.8155553340911865,results\ViT_g_14\헬로카봇_그랜저_호크_블루_thunder_1385_webp_similarity.png
헬로카봇_극장판_그린팜,thunder_0344.webp,헬로카봇_극장판_그린팜,0.8187059164047241,results\ViT_g_14\헬로카봇_극장판_그린팜_thunder_0344_webp_similarity.png
헬로카봇_극장판_티라이오,thunder_0022.webp,헬로카봇_극장판_티라이오,0.836518406867981,results\ViT_g_14\헬로카봇_극장판_티라이오_thunder_0022_webp_similarity.png
헬로카봇_극장판_티라이오,thunder_0329.webp,헬로카봇_극장판_티라이오,0.8040165901184082,results\ViT_g_14\헬로카봇_극장판_티라이오_thunder_0329_webp_similarity.png
헬로카봇_극장판_티라이오,thunder_1025.webp,헬로카봇_극장판_티라이오,0.8070859909057617,results\ViT_g_14\헬로카봇_극장판_티라이오_thunder_1025_webp_similarity.png
헬로카봇_극장판_티라이오,thunder_1088.webp,헬로카봇_극장판_티라이오,0.8049461245536804,results\ViT_g_14\헬로카봇_극장판_티라이오_thunder_1088_webp_similarity.png
헬로카봇_극장판_파워크루저,thunder_0816.webp,헬로카봇_극장판_파워크루저,0.8589469194412231,results\ViT_g_14\헬로카봇_극장판_파워크루저_thunder_0816_webp_similarity.png
헬로카봇_나이트,thunder_0893.webp,헬로카봇_나이트,0.816460907459259,results\ViT_g_14\헬로카봇_나이트_thunder_0893_webp_similarity.png
헬로카봇_나이트,thunder_0958.webp,헬로카봇_미니_나이트,0.839971125125885,results\ViT_g_14\헬로카봇_나이트_thunder_0958_webp_similarity.png
헬로카봇_나이트,thunder_1041.webp,헬로카봇_나이트,0.8335925936698914,results\ViT_g_14\헬로카봇_나이트_thunder_1041_webp_similarity.png
헬로카봇_나이트,thunder_1071.webp,헬로카봇_나이트,0.8345708847045898,results\ViT_g_14\헬로카봇_나이트_thunder_1071_webp_similarity.png
헬로카봇_나이트,thunder_1115.webp,헬로카봇_나이트,0.8638783097267151,results\ViT_g_14\헬로카봇_나이트_thunder_1115_webp_similarity.png
헬로카봇_나이트,thunder_1246.webp,헬로카봇_나이트,0.8602457642555237,results\ViT_g_14\헬로카봇_나이트_thunder_1246_webp_similarity.png
헬로카봇_다이어EX,thunder_0942.webp,헬로카봇_다이어EX,0.8182951211929321,results\ViT_g_14\헬로카봇_다이어EX_thunder_0942_webp_similarity.png
헬로카봇_다이어EX,thunder_1029.webp,헬로카봇_다이어EX,0.755760669708252,results\ViT_g_14\헬로카봇_다이어EX_thunder_1029_webp_similarity.png
헬로카봇_댄디,thunder_0456.webp,헬로카봇_스타렉스_댄디,0.8049542903900146,results\ViT_g_14\헬로카봇_댄디_thunder_0456_webp_similarity.png
헬로카봇_댄디,thunder_0812.webp,헬로카봇_스타렉스_댄디,0.856898307800293,results\ViT_g_14\헬로카봇_댄디_thunder_0812_webp_similarity.png
헬로카봇_댄디,thunder_1185.webp,헬로카봇_스타렉스_댄디,0.8699052333831787,results\ViT_g_14\헬로카봇_댄디_thunder_1185_webp_similarity.png
헬로카봇_듀크_포크레인,thunder_1183.webp,헬로카봇_스피너블,0.7080152630805969,results\ViT_g_14\헬로카봇_듀크_포크레인_thunder_1183_webp_similarity.png
헬로카봇_드라고닉스,thunder_0168.webp,헬로카봇_드라고닉스,0.8407059907913208,results\ViT_g_14\헬로카봇_드라고닉스_thunder_0168_webp_similarity.png
헬로카봇_드라고닉스,thunder_0661.webp,헬로카봇_드라고닉스,0.7766180038452148,results\ViT_g_14\헬로카봇_드라고닉스_thunder_0661_webp_similarity.png
